branch_name	last_commit_date	sha	upstream	merged_into_main	category	initial_recommendation
admiring-gagarin	2025-12-15	42129192	none	no	cursor_name	INITIAL
adoring-margulis	2025-12-12	3a6bee28	none	no	cursor_name	INITIAL
affectionate-kilby	2025-12-17	11f108cf	none	no	cursor_name	INITIAL
affectionate-margulis	2025-12-12	3a6bee28	none	no	cursor_name	INITIAL
agitated-darwin	2025-12-12	3a6bee28	none	no	cursor_name	INITIAL
analysis/missing-features-cursor-ma	2026-02-11	cc79fd6a	none	no	analysis	INITIAL
backup/docs/ev-strategy-risk-telemetry-20260129_20260130T160236Z	2026-01-30	4d914c52	none	no	backup	INITIAL
backup/docs_merge-log-1063_20260130T162733Z	2026-01-30	de6016e3	origin/docs/merge-log-1063	no	backup	INITIAL
backup/docs_merge-log-1067_20260130T162738Z	2026-01-30	1ac08df0	origin/docs/merge-log-1067	no	backup	INITIAL
backup/local-main-diverged-2026-01-03_023911	2026-01-03	49930fe1	none	no	backup	INITIAL
backup/local-main-pre-sync-770_20260118_014415Z	2026-01-18	8206a76e	none	no	backup	INITIAL
backup/pr394-before-squash	2025-12-27	c5fc8d0a	none	no	backup	INITIAL
backup/pr60-local-34ac928c	2026-01-04	34ac928c	none	no	backup	INITIAL
backup/pr642-pre-rebase-20260111-1814	2026-01-10	b1e8e63a	none	no	backup	INITIAL
backup/slice2-staged-20260122T005833	2026-01-22	7b817a01	none	no	backup	INITIAL
chore/ai-matrix-gate-pass-line	2026-02-06	e3ef4021	origin/chore/ai-matrix-gate-pass-line	no	chore	INITIAL
chore/audit-formatter-alignment	2025-12-26	e75d4da4	none	no	chore	INITIAL
chore/g3_5-policy-critic-synthetic-cycles	2025-12-12	405503d8	none	no	chore	INITIAL
chore/ignore-grafana-verify-evidence	2026-02-01	f59e1d30	none	no	chore	INITIAL
chore/repo-cleanup-structure-v1	2025-12-25	bbb1758f	none	no	chore	INITIAL
ci/ai-matrix-gate-required	2026-02-06	5784aa04	origin/ci/ai-matrix-gate-required	no	ci	INITIAL
ci/aiops-artifacts-skip-marker	2026-02-06	987e7356	none	no	ci	INITIAL
ci/fix-aiops-promptfoo-evals-secrets-context	2026-02-06	35f5eefe	none	no	ci	INITIAL
ci/phase4a-evidence-pack-gate	2026-01-17	1aee43d6	none	no	ci	INITIAL
ci/pragmatic-ci-fastlane-pr-gate	2026-02-07	ccc621fc	none	no	ci	INITIAL
ci/retrigger-export-pack-verify	2026-02-23	4c388af7	origin/ci/retrigger-export-pack-verify	no	ci	INITIAL
clever-saha	2025-12-18	1aafbde4	none	no	cursor_name	INITIAL
config/l3-scope-schema-align	2026-02-06	8da9f9c5	none	no	config	INITIAL
cool-joliot	2025-12-15	254c2cbb	none	no	cursor_name	INITIAL
dazzling-taussig	2025-12-18	dd86f252	none	no	cursor_name	INITIAL
docs/docs-health-fix_targets_tokenpolicy	2026-01-27	d1012708	origin/docs/docs-health-fix_targets_tokenpolicy	no	docs	INITIAL
docs/gatepacks-merge-readiness	2026-02-03	294415c9	none	no	docs	INITIAL
docs/merge-log-1067	2026-01-30	f164b212	origin/docs/merge-log-1067	no	docs	INITIAL
docs/merge-log-pr-1003	2026-01-27	3098ed86	origin/docs/merge-log-pr-1003	no	docs	INITIAL
docs/merge-log-pr-1005	2026-01-27	787c8b3b	origin/docs/merge-log-pr-1005	no	docs	INITIAL
docs/merge-logs-936-937	2026-02-12	19af8828	origin/docs/merge-logs-936-937	no	docs	INITIAL
docs/obs-grafana-runbook	2026-02-06	9a731fa6	none	no	docs	INITIAL
docs/obs-runbook-token-policy	2026-02-07	9ad0be3d	origin/docs/obs-runbook-token-policy	no	docs	INITIAL
docs/obs-shadow-pipeline-mvs	2026-01-17	49082e21	none	no	docs	INITIAL
docs/ops-doctor-registry-guardrail-clean	2025-12-25	9358f8f4	origin/main	no	docs	INITIAL
docs/persist-p4c-todo	2026-02-20	bef34f4b	origin/docs/persist-p4c-todo	no	docs	INITIAL
docs/phase-d8-merge-order-drill	2026-02-03	7f1d777c	none	no	docs	INITIAL
docs/phase9c-broken-targets-wave5	2026-01-14	1173f622	none	no	docs	INITIAL
docs/project-summary-v2_20260127	2026-01-27	5b914053	origin/docs/project-summary-v2_20260127	no	docs	INITIAL
docs/risk-layer-phase0-alignment	2025-12-27	dc62c788	none	no	docs	INITIAL
docs/runbook-ci-triage-required-checks-tls-fallback	2026-02-05	5d523577	none	no	docs	INITIAL
docs/runbook-cursor-ma-phases-21-24	2026-02-05	e07eb290	none	no	docs	INITIAL
docs/runbook-cursor-ma-phases-33-36	2026-02-05	7d048c06	none	no	docs	INITIAL
docs/runbook-docs-reference-targets-summary	2026-02-12	ebc1ceb0	origin/docs/runbook-docs-reference-targets-summary	no	docs	INITIAL
docs/runbook-phase40-publish-workflow	2026-02-05	504d713b	none	no	docs	INITIAL
docs/runbook-phase42-gate-quick-fixes	2026-02-05	af596ce6	none	no	docs	INITIAL
docs/runbook-phase46-cross-machine-verification	2026-02-05	48b558dc	none	no	docs	INITIAL
docs/spec-project-summary-outline-v2	2026-01-27	e6d9211c	origin/docs/spec-project-summary-outline-v2	no	docs	INITIAL
dreamy-fermi	2025-12-16	516f1038	none	no	cursor_name	INITIAL
dreamy-joliot	2025-12-16	0aa603b0	none	no	cursor_name	INITIAL
elastic-meitner	2025-12-17	11f108cf	none	no	cursor_name	INITIAL
elegant-austin	2025-12-15	42129192	none	no	cursor_name	INITIAL
eloquent-moser	2025-12-16	1c09f46a	none	no	cursor_name	INITIAL
evidence-index-v0.1	2026-01-07	8f1f105b	none	no	other	INITIAL
exciting-tu	2025-12-18	c295ee60	none	no	cursor_name	INITIAL
feat/activation-gates-doubleplay-leverage-prh	2026-02-20	5a29b8fd	none	no	feat	INITIAL
feat/ai-layer-canonical-spec-v1	2026-03-07	ad3ca912	none	no	feat	INITIAL
feat/ai-unknown-reduction-v1	2026-03-07	da97a2e3	origin/feat/ai-unknown-reduction-v1	no	feat	INITIAL
feat/aiops-trendledger-artifact-name-hotfix	2026-02-13	f5b96104	origin/feat/aiops-trendledger-artifact-name-hotfix	no	feat	INITIAL
feat/aiops-trendledger-watch-and-sync-nonblocking	2026-02-13	187dc093	none	no	feat	INITIAL
feat/ci-audit-scale-phase-a	2026-02-18	88ec7f4d	none	no	feat	INITIAL
feat/ci-paper-session-audit-evidence	2026-02-18	9abed737	none	no	feat	INITIAL
feat/ci-paper-session-contract-harden	2026-02-18	24b5ca96	none	no	feat	INITIAL
feat/ci-paper-tests-audit-evidence	2026-02-18	985af37d	none	no	feat	INITIAL
feat/ci-required-checks-docs-only-trigger-fix	2026-02-13	eb7b7318	origin/feat/ci-required-checks-docs-only-trigger-fix	no	feat	INITIAL
feat/ci-trigger-required-checks-20260223T181348Z	2026-02-23	26d96204	none	no	feat	INITIAL
feat/ci-trigger-required-checks-20260223T184921Z	2026-02-23	f5415546	none	no	feat	INITIAL
feat/ci-trigger-required-checks-20260224T174419Z	2026-02-24	0568548a	none	no	feat	INITIAL
feat/critic-proposer-boundary-spec-v1	2026-03-07	48854fab	origin/feat/critic-proposer-boundary-spec-v1	no	feat	INITIAL
feat/critic-runtime-resolution-v2	2026-03-07	5dcba9cb	origin/feat/critic-runtime-resolution-v2	no	feat	INITIAL
feat/cursor-api-automerge-fallback	2026-02-10	4f5dbc03	none	no	feat	INITIAL
feat/cursor-automation-smoke	2026-02-10	3d9ddeb1	none	no	feat	INITIAL
feat/docs-required-check-deadlocks-runbook	2026-02-23	347ede97	origin/feat/docs-required-check-deadlocks-runbook	no	feat	INITIAL
feat/double-play-specialists-prg	2026-02-20	9587384b	none	no	feat	INITIAL
feat/dynamic-leverage-contract-prd	2026-02-20	240269c6	none	no	feat	INITIAL
feat/evidence-include-decision-envelope-v1	2026-02-18	cda6ede2	none	no	feat	INITIAL
feat/execution-adjacent-ai-boundary-spec-v1	2026-03-07	165e194c	origin/feat/execution-adjacent-ai-boundary-spec-v1	no	feat	INITIAL
feat/execution-hardening-edgecases-v1	2026-03-06	7e40841a	none	no	feat	INITIAL
feat/execution-ledger-slice2	2026-02-12	c1c1f729	origin/feat/execution-ledger-slice2	no	feat	INITIAL
feat/ft1-archive-position-sizer-backup	2026-02-28	7ce2af17	none	no	feat	INITIAL
feat/ft2-orphan-keep-smoke-tests	2026-02-28	6587e6d4	none	no	feat	INITIAL
feat/full-scan-wave3-branch-archive-review	2026-03-10	d2b81d58	none	no	feat	INITIAL
feat/grafana-compare-pack-v0_1-rebased	2026-01-23	35767193	origin/main	no	feat	INITIAL
feat/grafana-purge	2026-02-23	991175fe	origin/feat/grafana-purge	no	feat	INITIAL
feat/grafana-purge-v2	2026-02-23	2f70528f	origin/feat/grafana-purge-v2	no	feat	INITIAL
feat/hard-disable-metrics-export	2026-02-23	b1e6cf50	origin/feat/hard-disable-metrics-export	no	feat	INITIAL
feat/ingress-a4-evidence-capsules	2026-02-08	1b7f43fe	none	no	feat	INITIAL
feat/live-dynamic-leverage-integration	2026-02-20	70e27f84	none	no	feat	INITIAL
feat/live-exec-wp0c-governance	2025-12-29	50bf078b	none	no	feat	INITIAL
feat/live-gates-test-suite-prb	2026-02-19	4635b4e6	none	no	feat	INITIAL
feat/live-ops-evidence-chain	2026-02-03	54304198	none	no	feat	INITIAL
feat/local-docker-safe-start-guardrails	2026-03-08	6cbfd68f	none	no	feat	INITIAL
feat/missing-features-and-ai-matrix-gate	2026-02-10	a51461b5	none	no	feat	INITIAL
feat/nowcast-v1-hardening-mu-bp	2026-02-18	ae767f56	none	no	feat	INITIAL
feat/operator-wiring-e2e-smoke-pri	2026-02-20	ad012dd6	none	no	feat	INITIAL
feat/ops-add-e2e-verification-runner	2026-03-03	f602b605	origin/feat/ops-add-e2e-verification-runner	no	feat	INITIAL
feat/ops-add-run-pipeline-smoke-script	2026-03-01	d719bdbc	origin/feat/ops-add-run-pipeline-smoke-script	no	feat	INITIAL
feat/ops-cockpit-v2-4-ux-finishes	2026-03-08	e366fc29	none	no	feat	INITIAL
feat/ops-cockpit-v2-5-freshness	2026-03-08	922f7dbf	origin/feat/ops-cockpit-v2-5-freshness	no	feat	INITIAL
feat/ops-cockpit-v2-6-freshness-legend	2026-03-08	9a492f71	origin/feat/ops-cockpit-v2-6-freshness-legend	no	feat	INITIAL
feat/ops-cockpit-v2-7-source-filter-chips	2026-03-08	70aa83c5	none	no	feat	INITIAL
feat/ops-cockpit-v2-8-compact-source-summary	2026-03-08	ff793659	origin/feat/ops-cockpit-v2-8-compact-source-summary	no	feat	INITIAL
feat/ops-cockpit-v2-9-visual-emphasis	2026-03-08	f16c0166	origin/feat/ops-cockpit-v2-9-visual-emphasis	no	feat	INITIAL
feat/ops-done-format-enrich-counts	2026-03-04	32507b48	none	no	feat	INITIAL
feat/ops-done-newline-fix	2026-03-04	0f3a44d1	none	no	feat	INITIAL
feat/ops-done-registry-jsonl	2026-03-04	18539f5b	none	no	feat	INITIAL
feat/ops-e2e-runner-workflow-detect-fix	2026-03-03	d814145c	origin/feat/ops-e2e-runner-workflow-detect-fix	no	feat	INITIAL
feat/ops-gh-inventory-runner	2026-03-05	e4ac5a37	origin/feat/ops-gh-inventory-runner	no	feat	INITIAL
feat/ops-incident-runbooks-v1	2026-03-06	01d50587	none	no	feat	INITIAL
feat/ops-launchagent-modes	2026-03-05	421459b8	origin/feat/ops-launchagent-modes	no	feat	INITIAL
feat/ops-live-pilot-caps-scaffold	2026-03-05	12431e06	origin/feat/ops-live-pilot-caps-scaffold	no	feat	INITIAL
feat/ops-live-pilot-exec-wrapper	2026-03-05	90281e60	origin/feat/ops-live-pilot-exec-wrapper	no	feat	INITIAL
feat/ops-long-run-hygiene-v1	2026-03-06	10e3b6ba	none	no	feat	INITIAL
feat/ops-morning-one-shot-pull-prbg	2026-03-03	4f22da2f	none	no	feat	INITIAL
feat/ops-no-knall-scheduled-ci	2026-02-19	cced0c6e	none	no	feat	INITIAL
feat/ops-operator-all-wrapper	2026-03-04	6bc351d4	origin/feat/ops-operator-all-wrapper	no	feat	INITIAL
feat/ops-prk-dashboard-fetcher	2026-02-23	a0cff32c	origin/feat/ops-prk-dashboard-fetcher	no	feat	INITIAL
feat/ops-registry-alerts-gate	2026-03-04	b0a19aa7	origin/feat/ops-registry-alerts-gate	no	feat	INITIAL
feat/ops-registry-trend-report	2026-03-04	a7e93c2c	origin/feat/ops-registry-trend-report	no	feat	INITIAL
feat/ops-remove-all-ci-trigger-full-checks	2026-03-05	59248426	origin/feat/ops-remove-all-ci-trigger-full-checks	no	feat	INITIAL
feat/ops-remove-ci-trigger-pr1565	2026-02-22	1699b4c3	origin/feat/ops-remove-ci-trigger-pr1565	no	feat	INITIAL
feat/ops-remove-ci-trigger-pr1594	2026-02-24	f0e1974b	none	no	feat	INITIAL
feat/ops-remove-ci-trigger-pr1600	2026-02-24	00b4f9e8	origin/feat/ops-remove-ci-trigger-pr1600	no	feat	INITIAL
feat/ops-remove-ci-trigger-pr1601	2026-02-25	c952b950	origin/feat/ops-remove-ci-trigger-pr1601	no	feat	INITIAL
feat/ops-remove-ci-trigger-pr1603	2026-02-25	532cd2ea	origin/feat/ops-remove-ci-trigger-pr1603	no	feat	INITIAL
feat/ops-remove-ci-trigger-pr1605	2026-02-25	514dbfa7	origin/feat/ops-remove-ci-trigger-pr1605	no	feat	INITIAL
feat/ops-remove-ci-trigger-pr1606	2026-02-25	83780ba8	origin/feat/ops-remove-ci-trigger-pr1606	no	feat	INITIAL
feat/ops-remove-ci-trigger-pr1609	2026-02-25	90151300	origin/feat/ops-remove-ci-trigger-pr1609	no	feat	INITIAL
feat/ops-remove-ci-trigger-pr1628	2026-02-28	09a7a389	none	no	feat	INITIAL
feat/ops-remove-ci-trigger-pr1634	2026-03-01	508b6fd8	origin/feat/ops-remove-ci-trigger-pr1634	no	feat	INITIAL
feat/ops-remove-ci-trigger-pr1636	2026-03-01	2dd868e6	origin/feat/ops-remove-ci-trigger-pr1636	no	feat	INITIAL
feat/ops-remove-ci-trigger-pr1637	2026-03-01	4136935c	origin/feat/ops-remove-ci-trigger-pr1637	no	feat	INITIAL
feat/ops-remove-ci-trigger-pr1686	2026-03-05	bdffbcb9	none	no	feat	INITIAL
feat/ops-remove-trampoline-pr1564	2026-02-22	f3284a05	origin/feat/ops-remove-trampoline-pr1564	no	feat	INITIAL
feat/ops-remove-trampoline-pr1566	2026-02-23	234b417b	origin/feat/ops-remove-trampoline-pr1566	no	feat	INITIAL
feat/ops-restore-todo-to-docs-script	2026-02-20	2087dfdd	origin/feat/ops-restore-todo-to-docs-script	no	feat	INITIAL
feat/ops-run-testnet-evidence-flow-script	2026-02-25	7ca7c36b	origin/feat/ops-run-testnet-evidence-flow-script	no	feat	INITIAL
feat/ops-status-prbi-latest-prefer	2026-03-03	8dd53a1d	origin/feat/ops-status-prbi-latest-prefer	no	feat	INITIAL
feat/p101-ops-workbook-a2z-v1	2026-02-16	187b3743	origin/feat/p101-ops-workbook-a2z-v1	no	feat	INITIAL
feat/p103-p91-launchd-dynamic-outdir-v1	2026-02-16	9b13f85b	origin/feat/p103-p91-launchd-dynamic-outdir-v1	no	feat	INITIAL
feat/p104-soak-watch-v1	2026-02-16	2f34758e	origin/feat/p104-soak-watch-v1	no	feat	INITIAL
feat/p105-exchange-execution-workbook-v1	2026-02-16	9f2ab28b	origin/feat/p105-exchange-execution-workbook-v1	no	feat	INITIAL
feat/p106-execution-adapter-cap-matrix-v1	2026-02-16	f3286ae8	origin/feat/p106-execution-adapter-cap-matrix-v1	no	feat	INITIAL
feat/p108-okx-adapter-v1-mocks-only	2026-02-17	7dd3e44e	origin/feat/p108-okx-adapter-v1-mocks-only	no	feat	INITIAL
feat/p109-bybit-adapter-v1-mocks-only	2026-02-17	8be6beaf	origin/feat/p109-bybit-adapter-v1-mocks-only	no	feat	INITIAL
feat/p110-execution-adapter-matrix-smoke-v1	2026-02-17	37e33b7e	origin/feat/p110-execution-adapter-matrix-smoke-v1	no	feat	INITIAL
feat/p112-execution-router-v1-mocks-only	2026-02-17	762994c4	origin/feat/p112-execution-router-v1-mocks-only	no	feat	INITIAL
feat/p113-execution-router-cli-v1	2026-02-17	8b7c5459	origin/feat/p113-execution-router-cli-v1	no	feat	INITIAL
feat/p114-execution-router-wiring-v1	2026-02-17	27cd7e8f	origin/feat/p114-execution-router-wiring-v1	no	feat	INITIAL
feat/p115-execution-session-runner-v1-mocks-only	2026-02-17	595ac238	origin/feat/p115-execution-session-runner-v1-mocks-only	no	feat	INITIAL
feat/p116-execution-session-evidence-v1	2026-02-17	e946d371	origin/feat/p116-execution-session-evidence-v1	no	feat	INITIAL
feat/p117-ops-loop-execution-evidence-hook-v1	2026-02-17	ee36b2f0	origin/feat/p117-ops-loop-execution-evidence-hook-v1	no	feat	INITIAL
feat/p119-execution-wiring-plan-v1	2026-02-17	9bdf213b	origin/feat/p119-execution-wiring-plan-v1	no	feat	INITIAL
feat/p120-sha256sums-style-guard	2026-02-17	55f66c3b	origin/feat/p120-sha256sums-style-guard	no	feat	INITIAL
feat/p121-execution-wiring-proof-v1	2026-02-17	9bb8fea7	origin/feat/p121-execution-wiring-proof-v1	no	feat	INITIAL
feat/p125-execution-networked-transport-gate-v1	2026-02-17	eaa98ef8	none	no	feat	INITIAL
feat/p129-execution-networked-onramp-cli-v1	2026-02-17	f58dc427	origin/feat/p129-execution-networked-onramp-cli-v1	no	feat	INITIAL
